City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
114,Ongandjera,NA,2020-08-25  20:49:49,-17.88,15.07,70.92,38,60,10.96
115,Lebu,CL,2020-08-25  20:49:49,-37.62,-73.65,53.19,76,0,18.81
116,Avarua,CK,2020-08-25  20:49:50,-21.21,-159.78,75.2,73,53,11.41
117,Saint George,US,2020-08-25  20:49:50,37.1,-113.58,104.0,18,1,13.98
118,Faya,SA,2020-08-25  20:49:50,18.39,42.45,71.6,77,95,3.36
119,Castro,BR,2020-08-25  20:49:50,-24.79,-50.01,55.56,81,0,7.2
120,Cape Town,ZA,2020-08-25  20:49:18,-33.93,18.42,57.0,93,75,9.17
121,Banjar,ID,2020-08-25  20:47:57,-8.19,114.97,78.8,100,40,10.29
122,Susehri,TR,2020-08-25  20:49:51,40.16,38.09,63.12,52,0,2.57
123,Kaduqli,SD,2020-08-25  20:49:51,11.02,29.72,74.07,88,71,1.95
124,Vao,NC,2020-08-25  20:49:51,-22.67,167.48,67.64,66,78,13.18
125,Sanchor,IN,2020-08-25  20:49:51,24.76,71.77,79.9,85,92,16.31
126,Akyab,MM,2020-08-25  20:47:39,20.15,92.9,80.31,87,100,13.4
127,Waingapu,ID,2020-08-25  20:49:51,-9.66,120.26,72.64,81,3,11.36
128,Nanortalik,GL,2020-08-25  20:49:51,60.14,-45.24,46.67,82,8,5.73
129,Aksu,CN,2020-08-25  20:49:52,41.12,80.26,80.13,19,9,4.68
130,Kwekwe,ZW,2020-08-25  20:49:52,-18.93,29.81,62.6,32,0,4.65
131,Kahului,US,2020-08-25  20:45:10,20.89,-156.47,89.6,40,20,17.22
132,Parkersburg,US,2020-08-25  20:49:52,39.27,-81.56,75.2,73,75,4.7
133,College,US,2020-08-25  20:49:52,64.86,-147.8,57.2,82,90,3.36
134,Iquique,CL,2020-08-25  20:49:52,-20.22,-70.14,64.4,63,2,20.8
135,Padang,ID,2020-08-25  20:49:53,-0.95,100.35,77.59,73,97,4.03
136,Kitimat,CA,2020-08-25  20:49:53,54.05,-128.65,57.99,84,95,1.99
137,Meulaboh,ID,2020-08-25  20:49:53,4.14,96.13,76.01,85,90,3.15
138,Coihaique,CL,2020-08-25  20:49:53,-45.58,-72.07,39.2,69,90,1.77
139,Grajduri,RO,2020-08-25  20:49:53,46.97,27.52,63.0,93,75,5.82
140,Fairbanks,US,2020-08-25  20:48:16,64.84,-147.72,57.2,82,90,3.36
141,Roald,NO,2020-08-25  20:49:54,62.58,6.13,51.8,76,75,3.36
142,Iqaluit,CA,2020-08-25  20:49:54,63.75,-68.51,53.6,58,75,13.87
143,Ballyshannon,IE,2020-08-25  20:49:54,54.5,-8.18,57.2,93,40,19.46
144,Mabay,PH,2020-08-25  20:49:54,6.06,124.47,79.12,80,40,3.74
145,Chokurdakh,RU,2020-08-25  20:49:54,70.63,147.92,37.09,91,100,4.7
146,Rio Gallegos,AR,2020-08-25  20:45:08,-51.62,-69.22,44.6,33,0,17.22
147,Bar Harbor,US,2020-08-25  20:48:00,44.39,-68.2,71.01,83,75,10.29
148,Carnarvon,AU,2020-08-25  20:49:55,-24.87,113.63,60.8,82,0,14.99
149,Cherskiy,RU,2020-08-25  20:49:55,68.75,161.3,38.82,95,100,3.67
150,Lagunas,PE,2020-08-25  20:49:55,-5.23,-75.68,90.55,39,4,2.46
151,Sawakin,SD,2020-08-25  20:49:55,19.11,37.33,89.6,59,38,4.7
152,Souillac,MU,2020-08-25  20:49:55,-20.52,57.52,69.8,83,20,10.29
153,North Bend,US,2020-08-25  20:49:56,43.41,-124.22,75.99,68,1,21.92
154,Praia Da Vitoria,PT,2020-08-25  20:49:56,38.73,-27.07,78.8,78,40,11.14
155,Agirish,RU,2020-08-25  20:49:56,61.92,63.02,51.46,100,100,2.93
156,Cavalcante,BR,2020-08-25  20:49:56,-13.8,-47.46,80.01,28,0,8.43
157,Nikolskoye,RU,2020-08-25  20:49:56,59.7,30.79,60.01,87,75,4.47
158,Port Elizabeth,ZA,2020-08-25  20:49:56,-33.92,25.57,61.0,72,0,7.0
159,Huarmey,PE,2020-08-25  20:49:56,-10.07,-78.15,66.43,68,20,11.01
160,Kapaa,US,2020-08-25  20:49:57,22.08,-159.32,84.2,70,75,12.75
161,Palmer,US,2020-08-25  20:49:57,42.16,-72.33,84.0,58,32,13.29
162,Muli,MV,2020-08-25  20:49:57,2.92,73.57,83.39,75,100,13.62
163,Hithadhoo,MV,2020-08-25  20:49:57,-0.6,73.08,81.57,76,100,8.5
164,Kochinda,IN,2020-08-25  20:49:57,21.73,84.35,75.38,95,100,6.67
165,Banda Aceh,ID,2020-08-25  20:44:59,5.56,95.32,79.68,78,29,4.34
166,Chebsara,RU,2020-08-25  20:49:58,59.2,38.84,57.2,100,75,4.43
167,Ouesso,CG,2020-08-25  20:49:58,1.61,16.05,71.22,94,100,2.26
168,Bambous Virieux,MU,2020-08-25  20:49:58,-20.34,57.76,71.01,83,20,10.29
169,Katsuura,JP,2020-08-25  20:49:58,35.13,140.3,78.01,88,20,5.82
170,Orange Cove,US,2020-08-25  20:48:01,36.62,-119.31,93.99,43,1,4.7
171,Neyshabur,IR,2020-08-25  20:47:04,36.21,58.8,60.1,47,5,1.66
172,Mitu,CO,2020-08-25  20:49:58,1.2,-70.17,82.45,64,99,2.33
173,Puerto Escondido,MX,2020-08-25  20:49:59,15.85,-97.07,80.6,65,90,7.23
174,Abha,SA,2020-08-25  20:49:59,18.22,42.51,71.6,77,100,3.36
175,Aquiraz,BR,2020-08-25  20:49:13,-3.9,-38.39,80.6,69,0,11.41
