City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
161,La Orotava,ES,77.0,light rain,28.39,-16.52,Hotel BLUESEA Puerto Resort
162,Faanui,PF,77.05,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
163,Butaritari,KI,82.4,clear sky,3.07,172.79,Isles Sunset Lodge
167,Cidreira,BR,70.57,overcast clouds,-30.18,-50.21,Hotel Castelo
171,Santa Luzia,BR,73.4,scattered clouds,-19.77,-43.85,Pousada Chao Earth
172,Khambhat,IN,82.4,haze,22.3,72.62,Anand
173,Mtwara,TZ,78.8,broken clouds,-10.27,40.18,Til Hotels
175,Roquetas De Mar,ES,78.8,clear sky,36.76,-2.61,Mediterraneo bay hotel & resort
176,Grand-Bourg,GP,87.8,broken clouds,15.88,-61.31,Coco Beach Resort
177,Touros,BR,84.2,broken clouds,-5.2,-35.46,INN NEW HORIZON
179,Intipuca,SV,82.51,scattered clouds,13.2,-88.05,hotel familiar Fco
180,Souillac,MU,71.6,shower rain,-20.52,57.52,Bils' Villa
182,Minusio,CH,73.4,broken clouds,46.18,8.81,Hotel la Palma au Lac
185,Hami,CN,74.19,clear sky,42.8,93.45,Laoyutang Resort
186,Miramar,US,90.0,scattered clouds,25.99,-80.23,Stadium Hotel
188,Harper,LR,79.11,light rain,4.38,-7.72,Screensaver
193,Axim,GH,80.17,overcast clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
194,Melilla,ES,82.4,clear sky,35.29,-2.94,Hôtel Anfora
195,Juegang,CN,82.99,light rain,32.32,121.19,Rudong Y Hotel
197,Devarkonda,IN,80.96,overcast clouds,16.7,78.93,VANAM ANJANEYULU
202,East Brainerd,US,78.01,light rain,35.0,-85.15,Embassy Suites by Hilton Chattanooga Hamilton Place
204,Vila Franca Do Campo,PT,77.0,few clouds,37.72,-25.43,Pestana Bahia Praia
206,Alim,PH,82.06,overcast clouds,9.56,122.49,Calamai Tropica
207,Antalaha,MG,75.49,clear sky,-14.9,50.28,Hotel Vitasoa
208,Ribeira Grande,PT,80.6,few clouds,38.52,-28.7,Quinta da Meia Eira
211,Saint-Joseph,RE,73.4,scattered clouds,-21.37,55.62,"""Plantation Bed and Breakfast"
213,Socorro,US,81.0,scattered clouds,31.65,-106.3,guarderia imss papalote
216,Anderson,US,80.01,overcast clouds,34.53,-82.65,The Bleckley Inn
218,Oni,GE,76.08,clear sky,42.58,43.44,countryside house
219,Bengkulu,ID,78.89,broken clouds,-3.8,102.27,Grage Hotel Bengkulu
220,Westerly,US,73.4,light rain,41.38,-71.83,La Quinta Inn & Suites by Wyndham Stonington-Mystic Area
222,Paoua,CF,75.33,overcast clouds,7.24,16.44,Quartier Paoua Elien
223,Komsomolskiy,UZ,86.0,clear sky,40.43,71.72,Ikathouse
227,Los Llanos De Aridane,ES,80.6,few clouds,28.66,-17.92,Valle Aridane
228,Busok,PH,76.21,overcast clouds,6.51,124.6,"Laurel Compac, PNP"
229,Renqiu,CN,76.73,clear sky,38.7,116.09,City Garden Renqiu Meishicheng Store
230,Lagoa,PT,74.46,broken clouds,39.05,-27.98,Casa Das Faias
232,Beira,MZ,80.6,smoke,-19.84,34.84,Beira Terrace Hotel
235,Wuxue,CN,75.25,clear sky,29.85,115.55,Wuxue Station Hostel
241,Acapulco,MX,77.0,broken clouds,16.86,-99.89,HS Hotsson Smart Acapulco
242,Vega De Alatorre,MX,81.9,overcast clouds,20.03,-96.63,Hotel Deluxe
246,Korla,CN,71.01,clear sky,41.76,86.15,Gulisitan Hotel
249,Bud,US,75.99,broken clouds,39.45,-86.18,Madsion Scouts Camp
250,Palmer,US,70.0,light rain,42.16,-72.33,Wedgewood Motel
253,Takab,IR,84.61,clear sky,36.4,47.11,مهمانپذیر تخت سلیمان
255,Labuhan,ID,80.56,few clouds,-6.88,112.21,bador sepret
256,Sao Filipe,CV,80.87,overcast clouds,14.9,-24.5,Tortuga B&B
259,Birjand,IR,84.2,clear sky,32.87,59.22,Birjand Tourist Hotel
260,Znin,PL,75.0,few clouds,52.85,17.72,Gosciniec Krys
262,Monroe,US,75.99,broken clouds,43.15,-77.68,Staybridge Suites Rochester University
265,Kapoeta,SS,87.3,broken clouds,4.77,33.59,Eastgate Hotel
266,Biak,ID,77.18,overcast clouds,-0.91,122.88,Kost Ariz
268,Qui Nhon,VN,81.79,broken clouds,13.77,109.23,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
269,Pyay,MM,79.66,overcast clouds,18.82,95.22,Shwe Pyi Thar
273,Wenling,CN,86.0,overcast clouds,28.37,121.36,Hanting Express Wenling Wanchang North Road
277,Itupiranga,BR,87.8,scattered clouds,-5.13,-49.33,JAIRO ORLINDO VIEIRA
279,Sao Gotardo,BR,80.01,clear sky,-19.31,-46.05,Hotel Bomtempo
283,Praia Da Vitoria,PT,80.6,scattered clouds,38.73,-27.07,Hotel Branco I
284,Cabo San Lucas,MX,79.0,moderate rain,22.89,-109.91,Hotel Tesoro Los Cabos
285,Sao Joao Da Barra,BR,78.8,few clouds,-21.64,-41.05,Pousada Porto De Canoas
287,Berea,US,72.0,overcast clouds,41.37,-81.85,Comfort Inn Cleveland Airport
288,Brookhaven,US,81.0,few clouds,31.58,-90.44,Americas Best Value Inn Brookhaven
289,Tam Ky,VN,80.6,few clouds,15.57,108.48,Tam Ky Hotels - Tram Oanh Hotel
290,Mogadouro,PT,71.01,overcast clouds,41.34,-6.71,Pensão Russo
293,Nzerekore,GN,76.53,moderate rain,7.76,-8.82,Hotel de la Gare & Germanho Club
295,Gat,IL,90.0,clear sky,31.61,34.76,רגע בנחת
296,Saint George,US,82.4,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
297,Gumla,IN,74.53,clear sky,23.05,84.55,Hotel Bindesh
299,Olinda,BR,84.2,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
300,Abonnema,NG,84.2,thunderstorm,4.71,6.79,Corper's Lodge Obonoma
304,Bethel,US,72.0,moderate rain,41.37,-73.41,Courtyard by Marriott Danbury
305,Ponta Delgada,PT,77.0,few clouds,37.73,-25.67,Vila Nova Hotel
308,Oyama,JP,89.01,broken clouds,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
311,Edeia,BR,87.49,clear sky,-17.34,-49.93,Hotel Imperial Edeia
312,Puerto Del Rosario,ES,77.0,broken clouds,28.5,-13.86,Hotel JM Puerto del Rosario
318,Teknaf,BD,81.37,broken clouds,20.86,92.31,Magnum Engineering & Construction
319,Sampit,ID,76.71,clear sky,-2.53,112.95,Aquarius Boutique Hotel Sampit
320,Saint-Paul,RE,73.4,few clouds,-21.01,55.27,Boucan Canot
321,Sawai Madhopur,IN,83.41,light rain,25.98,76.37,Vivanta Sawai Madhopur Lodge
325,Locri,IT,88.0,clear sky,38.24,16.26,Grand Hotel President
326,Castro,BR,76.01,clear sky,-24.79,-50.01,CHACARA BAILLY
327,Siyabuswa,ZA,85.84,overcast clouds,-25.11,29.04,Uluju properties
329,Quatre Cocos,MU,73.0,shower rain,-20.21,57.76,Veranda Palmar Beach Hotel
330,Isangel,VU,73.31,overcast clouds,-19.55,169.27,Volcano Sea View Tree House
331,Cabedelo,BR,77.0,broken clouds,-6.98,-34.83,Lua Mansa Pousada
332,San Cristobal,VE,78.8,scattered clouds,7.77,-72.22,Pirineos
333,Tautira,PF,73.4,few clouds,-17.73,-149.15,Pension Oaoa
338,Buchanan,LR,79.14,light rain,5.88,-10.05,Kamaneahn Hotel Inc
344,Zolochiv,UA,84.2,overcast clouds,49.81,24.89,Hotel Avalon
346,Ixtapa,MX,78.01,overcast clouds,20.7,-105.2,Container Inn Puerto Vallarta
348,Gorontalo,ID,76.03,overcast clouds,0.54,123.06,Maqna Hotel by Prasanthi
349,Marrakesh,MA,86.0,few clouds,31.63,-8.01,Les Jardins de La Koutoubia
350,Cananea,MX,72.0,light rain,30.95,-110.3,Casas Montoya
352,Kolokani,ML,82.18,broken clouds,13.57,-8.03,Lycee Famolo Coulibalibali De Kolokani
353,Nichinan,JP,80.01,clear sky,31.6,131.37,Guest House Aki
355,Nabire,ID,76.1,moderate rain,-3.37,135.48,Hotel Nusantara Nabire
361,Rodrigues Alves,BR,85.3,clear sky,-7.74,-72.65,Pousada Aconchego
362,Birnin Kebbi,NG,84.74,light rain,12.45,4.2,Saffar Guest Inn Ltd
363,Santa Cruz,BO,82.4,clear sky,-17.8,-63.17,Hotel Cortez
364,Natitingou,BJ,77.0,broken clouds,10.3,1.38,Auberge Centrale
368,Clearwater,US,89.01,broken clouds,27.97,-82.8,Shephard's Beach Resort
370,Grand Gaube,MU,73.0,clear sky,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
372,Russell,US,80.6,broken clouds,32.35,-85.2,Macs
376,Polur,IN,87.3,overcast clouds,12.5,79.13,Sagar choubey
378,Palu,ID,75.81,broken clouds,-0.89,119.87,Hotel Santika Palu
383,Hambantota,LK,87.8,few clouds,6.12,81.12,Bungalow 63
384,Lorengau,PG,81.9,scattered clouds,-2.02,147.27,Lorengau Harbourside Hotel
385,Dawlatabad,AF,84.42,clear sky,36.41,64.91,WASIM ASGAR KHAN
388,Viseu,PT,73.0,clear sky,40.66,-7.91,Montebelo Viseu Congress Hotel
389,Maceio,BR,80.6,broken clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
394,Nouadhibou,MR,84.2,clear sky,20.93,-17.03,El Medina
395,Meulaboh,ID,80.46,light rain,4.14,96.13,Kost Pria
396,Keskin,TR,88.05,clear sky,39.67,33.61,Keskin İlçe Müftülüğü İrşat Evi
397,Desterro,BR,85.93,scattered clouds,-7.29,-37.09,Chácara Pai e Filho
398,Shingu,JP,77.22,clear sky,33.73,135.98,Shingu UI Hotel
