City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
126,Noyabrsk,RU,63.2,75.45,62.06,70,30,4.88,scattered clouds
127,Zhuhai,CN,22.28,113.57,90.0,79,15,11.41,few clouds
128,Poronaysk,RU,49.22,143.12,52.16,82,100,5.99,overcast clouds
129,Catamarca,AR,-28.47,-65.79,63.0,44,79,4.0,broken clouds
130,Byron Bay,AU,-28.65,153.62,59.0,87,75,3.36,broken clouds
131,Saint-Philippe,RE,-21.36,55.77,73.4,69,46,17.22,light rain
132,Barrow,US,71.29,-156.79,37.4,90,90,19.46,overcast clouds
133,Khuzhir,RU,53.19,107.34,54.5,92,100,11.21,light rain
134,Martorell,ES,41.47,1.93,75.99,50,40,6.93,scattered clouds
135,Huron,US,41.15,-82.55,72.0,91,78,3.0,broken clouds
136,Lima,PE,-12.04,-77.03,59.0,87,90,2.24,light intensity drizzle
137,Maniwaki,CA,46.38,-75.97,55.18,97,100,5.79,light rain
138,Emerald,AU,-23.53,148.17,64.4,68,0,12.75,clear sky
139,Ancud,CL,-41.87,-73.82,50.0,96,66,4.0,broken clouds
140,Naze,JP,28.37,129.48,84.2,89,54,4.7,broken clouds
141,Flin Flon,CA,54.77,-101.86,59.0,87,40,5.82,scattered clouds
142,Pangai,TO,-19.8,-174.35,76.42,71,100,22.55,overcast clouds
143,Port Blair,IN,11.67,92.75,83.12,78,58,8.19,broken clouds
144,San Patricio,MX,19.22,-104.7,77.47,83,57,5.41,broken clouds
145,Esperance,AU,-33.87,121.9,50.0,87,90,6.93,overcast clouds
146,Mananjary,MG,-21.22,48.33,74.3,72,1,9.01,clear sky
147,Banda Aceh,ID,5.56,95.32,81.54,75,100,0.29,light rain
148,Hobyo,SO,5.35,48.53,80.58,68,1,28.27,clear sky
149,Sawtell,AU,-30.38,153.1,52.0,93,19,5.5,few clouds
150,Qaanaaq,GL,77.48,-69.36,38.57,69,0,4.74,clear sky
151,Mabaruma,GY,8.2,-59.78,84.78,77,84,2.1,moderate rain
152,Pumiao,CN,22.75,108.48,84.2,74,0,2.24,clear sky
153,Shache,CN,38.42,77.24,73.89,26,0,8.43,clear sky
154,Moerai,PF,-22.43,-151.33,69.04,76,12,19.28,few clouds
155,Inhambane,MZ,-23.86,35.38,78.01,83,75,29.97,broken clouds
156,Daru,PG,-9.08,143.21,77.74,89,100,16.42,light rain
157,Lensk,RU,60.73,114.93,53.38,93,100,4.05,overcast clouds
158,Chernyshevskiy,RU,63.01,112.47,51.33,86,12,0.36,few clouds
159,Leningradskiy,RU,69.38,178.42,36.57,93,100,7.65,overcast clouds
160,Puerto Ayacucho,VE,5.66,-67.62,82.4,74,40,3.36,scattered clouds
161,La Orotava,ES,28.39,-16.52,77.0,94,75,23.04,light rain
162,Faanui,PF,-16.48,-151.75,77.05,81,37,25.34,light rain
163,Butaritari,KI,3.07,172.79,82.4,73,5,13.33,clear sky
164,Arman,RU,59.7,150.17,44.46,66,2,10.4,clear sky
165,Douglas,US,41.3,-96.17,66.99,68,1,5.82,clear sky
166,Yerofey Pavlovich,RU,53.97,121.97,48.15,77,100,3.98,overcast clouds
167,Cidreira,BR,-30.18,-50.21,70.57,69,88,5.97,overcast clouds
168,Tolaga Bay,NZ,-38.37,178.3,52.27,72,0,6.17,clear sky
169,Dekar,BW,-21.53,21.93,81.03,16,93,10.31,overcast clouds
170,Batagay-Alyta,RU,67.8,130.41,46.92,64,97,1.68,overcast clouds
171,Santa Luzia,BR,-19.77,-43.85,73.4,49,40,8.05,scattered clouds
172,Khambhat,IN,22.3,72.62,82.4,94,75,9.17,haze
173,Mtwara,TZ,-10.27,40.18,78.8,69,75,8.05,broken clouds
174,Rio Grande,BR,-32.03,-52.1,63.0,100,90,2.24,mist
175,Roquetas De Mar,ES,36.76,-2.61,78.8,50,0,34.45,clear sky
176,Grand-Bourg,GP,15.88,-61.31,87.8,83,75,4.7,broken clouds
177,Touros,BR,-5.2,-35.46,84.2,66,75,18.34,broken clouds
178,College,US,64.86,-147.8,48.2,100,90,3.36,fog
179,Intipuca,SV,13.2,-88.05,82.51,71,38,2.3,scattered clouds
180,Souillac,MU,-20.52,57.52,71.6,83,75,12.75,shower rain
181,Sitka,US,57.05,-135.33,48.2,93,40,2.93,scattered clouds
182,Minusio,CH,46.18,8.81,73.4,82,75,5.82,broken clouds
183,Sakakah,SA,29.97,40.21,107.6,6,0,5.82,clear sky
184,Tasiilaq,GL,65.61,-37.64,42.8,70,75,29.97,light rain
185,Hami,CN,42.8,93.45,74.19,23,0,9.64,clear sky
186,Miramar,US,25.99,-80.23,90.0,70,40,3.36,scattered clouds
